Device cuda | AE-MLP + NPN | 60r × 3e  (β=0.05)

Round 01 | rec 1.0675 | cls 0.6009 | acc 0.933 | auc 0.532
Round 02 | rec 0.9538 | cls 0.5232 | acc 0.934 | auc 0.651
Round 03 | rec 0.6419 | cls 0.4079 | acc 0.934 | auc 0.701
Round 04 | rec 0.2878 | cls 0.3318 | acc 0.934 | auc 0.720
Round 05 | rec 0.0973 | cls 0.2846 | acc 0.934 | auc 0.733
Round 06 | rec 0.2230 | cls 0.2504 | acc 0.934 | auc 0.748
Round 07 | rec 0.8234 | cls 0.2298 | acc 0.934 | auc 0.761
Round 08 | rec 1.5983 | cls 0.2211 | acc 0.933 | auc 0.773
Round 09 | rec 2.0523 | cls 0.2185 | acc 0.933 | auc 0.785
Round 10 | rec 1.9351 | cls 0.2166 | acc 0.933 | auc 0.797
Round 11 | rec 1.3990 | cls 0.2147 | acc 0.933 | auc 0.807
Round 12 | rec 0.7832 | cls 0.2133 | acc 0.932 | auc 0.811
Round 13 | rec 0.3546 | cls 0.2101 | acc 0.931 | auc 0.810
Round 14 | rec 0.1252 | cls 0.2052 | acc 0.930 | auc 0.813
Round 15 | rec 0.0420 | cls 0.2030 | acc 0.930 | auc 0.814
Round 16 | rec 0.0370 | cls 0.2039 | acc 0.929 | auc 0.817
Round 17 | rec 0.0625 | cls 0.2102 | acc 0.929 | auc 0.817
Round 18 | rec 0.0915 | cls 0.2203 | acc 0.929 | auc 0.816
Round 19 | rec 0.1085 | cls 0.2320 | acc 0.929 | auc 0.814
Round 20 | rec 0.1099 | cls 0.2418 | acc 0.930 | auc 0.814
Round 21 | rec 0.0955 | cls 0.2476 | acc 0.930 | auc 0.813
Round 22 | rec 0.0710 | cls 0.2474 | acc 0.930 | auc 0.815
Round 23 | rec 0.0444 | cls 0.2425 | acc 0.929 | auc 0.819
Round 24 | rec 0.0251 | cls 0.2344 | acc 0.929 | auc 0.823
Round 25 | rec 0.0175 | cls 0.2251 | acc 0.929 | auc 0.827
Round 26 | rec 0.0211 | cls 0.2175 | acc 0.927 | auc 0.829
Round 27 | rec 0.0323 | cls 0.2111 | acc 0.928 | auc 0.833
Round 28 | rec 0.0426 | cls 0.2069 | acc 0.927 | auc 0.833
Round 29 | rec 0.0476 | cls 0.2044 | acc 0.926 | auc 0.833
Round 30 | rec 0.0457 | cls 0.2033 | acc 0.926 | auc 0.833
Round 31 | rec 0.0379 | cls 0.2024 | acc 0.926 | auc 0.833
Round 32 | rec 0.0294 | cls 0.2022 | acc 0.927 | auc 0.832
Round 33 | rec 0.0212 | cls 0.2024 | acc 0.927 | auc 0.832
Round 34 | rec 0.0154 | cls 0.2036 | acc 0.928 | auc 0.832
Round 35 | rec 0.0132 | cls 0.2059 | acc 0.929 | auc 0.830
Round 36 | rec 0.0140 | cls 0.2088 | acc 0.929 | auc 0.832
Round 37 | rec 0.0162 | cls 0.2131 | acc 0.930 | auc 0.831
Round 38 | rec 0.0181 | cls 0.2170 | acc 0.930 | auc 0.831
Round 39 | rec 0.0193 | cls 0.2202 | acc 0.931 | auc 0.833
Round 40 | rec 0.0193 | cls 0.2225 | acc 0.931 | auc 0.832
Round 41 | rec 0.0185 | cls 0.2230 | acc 0.931 | auc 0.831
Round 42 | rec 0.0163 | cls 0.2220 | acc 0.931 | auc 0.833
Round 43 | rec 0.0139 | cls 0.2198 | acc 0.930 | auc 0.833
Round 44 | rec 0.0114 | cls 0.2175 | acc 0.929 | auc 0.833
Round 45 | rec 0.0105 | cls 0.2151 | acc 0.929 | auc 0.833
Round 46 | rec 0.0106 | cls 0.2129 | acc 0.929 | auc 0.834
Round 47 | rec 0.0115 | cls 0.2115 | acc 0.928 | auc 0.833
Round 48 | rec 0.0126 | cls 0.2100 | acc 0.927 | auc 0.835
Round 49 | rec 0.0137 | cls 0.2092 | acc 0.927 | auc 0.835
Round 50 | rec 0.0143 | cls 0.2090 | acc 0.927 | auc 0.834
Round 51 | rec 0.0144 | cls 0.2092 | acc 0.927 | auc 0.834
Round 52 | rec 0.0138 | cls 0.2095 | acc 0.927 | auc 0.833
Round 53 | rec 0.0136 | cls 0.2098 | acc 0.927 | auc 0.835
Round 54 | rec 0.0132 | cls 0.2109 | acc 0.928 | auc 0.833
Round 55 | rec 0.0123 | cls 0.2115 | acc 0.928 | auc 0.833
Round 56 | rec 0.0121 | cls 0.2125 | acc 0.929 | auc 0.833
Round 57 | rec 0.0124 | cls 0.2132 | acc 0.928 | auc 0.833
Round 58 | rec 0.0126 | cls 0.2138 | acc 0.929 | auc 0.835
Round 59 | rec 0.0127 | cls 0.2144 | acc 0.929 | auc 0.834
Round 60 | rec 0.0125 | cls 0.2143 | acc 0.930 | auc 0.834
Finished.
