Device cuda | AE-MLP + PN | 60 rounds × 3 epoch

Round 01 | rec 1.0675 | cls 0.6010 | acc 0.933 | auc 0.533
Round 02 | rec 0.9535 | cls 0.5234 | acc 0.934 | auc 0.652
Round 03 | rec 0.6415 | cls 0.4086 | acc 0.934 | auc 0.700
Round 04 | rec 0.2834 | cls 0.3320 | acc 0.934 | auc 0.720
Round 05 | rec 0.0812 | cls 0.2836 | acc 0.934 | auc 0.734
Round 06 | rec 0.2252 | cls 0.2494 | acc 0.935 | auc 0.748
Round 07 | rec 0.8108 | cls 0.2287 | acc 0.934 | auc 0.761
Round 08 | rec 1.5730 | cls 0.2199 | acc 0.934 | auc 0.774
Round 09 | rec 2.0226 | cls 0.2170 | acc 0.934 | auc 0.786
Round 10 | rec 1.9085 | cls 0.2153 | acc 0.933 | auc 0.798
Round 11 | rec 1.3830 | cls 0.2148 | acc 0.932 | auc 0.807
Round 12 | rec 0.7758 | cls 0.2133 | acc 0.932 | auc 0.811
Round 13 | rec 0.3517 | cls 0.2090 | acc 0.931 | auc 0.815
Round 14 | rec 0.1235 | cls 0.2045 | acc 0.930 | auc 0.817
Round 15 | rec 0.0407 | cls 0.2028 | acc 0.929 | auc 0.815
Round 16 | rec 0.0369 | cls 0.2051 | acc 0.929 | auc 0.811
Round 17 | rec 0.0638 | cls 0.2117 | acc 0.929 | auc 0.811
Round 18 | rec 0.0936 | cls 0.2212 | acc 0.928 | auc 0.812
Round 19 | rec 0.1109 | cls 0.2319 | acc 0.929 | auc 0.813
Round 20 | rec 0.1122 | cls 0.2411 | acc 0.930 | auc 0.813
Round 21 | rec 0.0970 | cls 0.2463 | acc 0.929 | auc 0.814
Round 22 | rec 0.0715 | cls 0.2461 | acc 0.929 | auc 0.816
Round 23 | rec 0.0442 | cls 0.2414 | acc 0.929 | auc 0.820
Round 24 | rec 0.0244 | cls 0.2338 | acc 0.929 | auc 0.824
Round 25 | rec 0.0165 | cls 0.2252 | acc 0.928 | auc 0.828
Round 26 | rec 0.0197 | cls 0.2175 | acc 0.927 | auc 0.831
Round 27 | rec 0.0305 | cls 0.2117 | acc 0.927 | auc 0.833
Round 28 | rec 0.0408 | cls 0.2074 | acc 0.926 | auc 0.834
Round 29 | rec 0.0458 | cls 0.2048 | acc 0.926 | auc 0.834
Round 30 | rec 0.0440 | cls 0.2034 | acc 0.926 | auc 0.834
Round 31 | rec 0.0363 | cls 0.2026 | acc 0.926 | auc 0.834
Round 32 | rec 0.0278 | cls 0.2023 | acc 0.927 | auc 0.833
Round 33 | rec 0.0200 | cls 0.2027 | acc 0.927 | auc 0.832
Round 34 | rec 0.0146 | cls 0.2037 | acc 0.928 | auc 0.832
Round 35 | rec 0.0128 | cls 0.2056 | acc 0.929 | auc 0.832
Round 36 | rec 0.0139 | cls 0.2086 | acc 0.929 | auc 0.832
Round 37 | rec 0.0163 | cls 0.2122 | acc 0.930 | auc 0.832
Round 38 | rec 0.0183 | cls 0.2159 | acc 0.930 | auc 0.833
Round 39 | rec 0.0194 | cls 0.2191 | acc 0.930 | auc 0.833
Round 40 | rec 0.0191 | cls 0.2211 | acc 0.930 | auc 0.833
Round 41 | rec 0.0182 | cls 0.2216 | acc 0.930 | auc 0.834
Round 42 | rec 0.0158 | cls 0.2210 | acc 0.930 | auc 0.834
Round 43 | rec 0.0133 | cls 0.2192 | acc 0.929 | auc 0.834
Round 44 | rec 0.0108 | cls 0.2171 | acc 0.929 | auc 0.835
Round 45 | rec 0.0099 | cls 0.2150 | acc 0.928 | auc 0.835
Round 46 | rec 0.0101 | cls 0.2132 | acc 0.928 | auc 0.835
Round 47 | rec 0.0112 | cls 0.2118 | acc 0.927 | auc 0.835
Round 48 | rec 0.0122 | cls 0.2107 | acc 0.927 | auc 0.835
Round 49 | rec 0.0131 | cls 0.2099 | acc 0.927 | auc 0.835
Round 50 | rec 0.0135 | cls 0.2095 | acc 0.926 | auc 0.835
Round 51 | rec 0.0134 | cls 0.2095 | acc 0.926 | auc 0.835
Round 52 | rec 0.0128 | cls 0.2095 | acc 0.927 | auc 0.835
Round 53 | rec 0.0125 | cls 0.2098 | acc 0.927 | auc 0.835
Round 54 | rec 0.0121 | cls 0.2104 | acc 0.927 | auc 0.835
Round 55 | rec 0.0114 | cls 0.2108 | acc 0.927 | auc 0.835
Round 56 | rec 0.0112 | cls 0.2116 | acc 0.928 | auc 0.835
Round 57 | rec 0.0117 | cls 0.2121 | acc 0.928 | auc 0.835
Round 58 | rec 0.0119 | cls 0.2130 | acc 0.928 | auc 0.835
Round 59 | rec 0.0121 | cls 0.2134 | acc 0.929 | auc 0.835
Round 60 | rec 0.0122 | cls 0.2133 | acc 0.929 | auc 0.835
Finished.
