Device cuda | AE-MLP FedAvg | 60 rounds × 3 epoch

Round 01 | rec 1.0656 | cls 1.2869 | acc 0.913 | auc 0.606
Round 02 | rec 1.0198 | cls 1.2580 | acc 0.779 | auc 0.698
Round 03 | rec 0.8905 | cls 1.2166 | acc 0.679 | auc 0.724
Round 04 | rec 0.6468 | cls 1.1626 | acc 0.657 | auc 0.743
Round 05 | rec 0.4417 | cls 1.1100 | acc 0.663 | auc 0.761
Round 06 | rec 0.7661 | cls 1.0789 | acc 0.682 | auc 0.777
Round 07 | rec 2.1329 | cls 1.0787 | acc 0.706 | auc 0.790
Round 08 | rec 4.0158 | cls 1.0991 | acc 0.740 | auc 0.801
Round 09 | rec 4.8562 | cls 1.1238 | acc 0.778 | auc 0.810
Round 10 | rec 4.0485 | cls 1.1414 | acc 0.817 | auc 0.816
Round 11 | rec 2.5519 | cls 1.1454 | acc 0.840 | auc 0.819
Round 12 | rec 1.3430 | cls 1.1307 | acc 0.844 | auc 0.821
Round 13 | rec 0.6765 | cls 1.0938 | acc 0.842 | auc 0.820
Round 14 | rec 0.3778 | cls 1.0444 | acc 0.841 | auc 0.817
Round 15 | rec 0.2741 | cls 1.0031 | acc 0.839 | auc 0.812
Round 16 | rec 0.2601 | cls 0.9866 | acc 0.837 | auc 0.809
Round 17 | rec 0.2820 | cls 1.1089 | acc 0.834 | auc 0.796
Round 18 | rec 0.2854 | cls 1.1934 | acc 0.833 | auc 0.801
Round 19 | rec 0.2531 | cls 1.2073 | acc 0.826 | auc 0.807
Round 20 | rec 0.1987 | cls 1.1732 | acc 0.811 | auc 0.812
Round 21 | rec 0.1479 | cls 1.1043 | acc 0.794 | auc 0.814
Round 22 | rec 0.1171 | cls 1.0192 | acc 0.771 | auc 0.815
Round 23 | rec 0.1035 | cls 0.9618 | acc 0.761 | auc 0.829
Round 24 | rec 0.1038 | cls 0.9509 | acc 0.769 | auc 0.829
Round 25 | rec 0.1135 | cls 0.9462 | acc 0.784 | auc 0.829
Round 26 | rec 0.1234 | cls 0.9466 | acc 0.801 | auc 0.830
Round 27 | rec 0.1240 | cls 0.9508 | acc 0.817 | auc 0.831
Round 28 | rec 0.1120 | cls 0.9563 | acc 0.830 | auc 0.831
Round 29 | rec 0.0922 | cls 0.9604 | acc 0.839 | auc 0.832
Round 30 | rec 0.0715 | cls 0.9611 | acc 0.844 | auc 0.832
Round 31 | rec 0.0551 | cls 0.9576 | acc 0.844 | auc 0.832
Round 32 | rec 0.0445 | cls 0.9507 | acc 0.842 | auc 0.832
Round 33 | rec 0.0383 | cls 0.9428 | acc 0.840 | auc 0.832
Round 34 | rec 0.0349 | cls 0.9364 | acc 0.837 | auc 0.833
Round 35 | rec 0.0335 | cls 0.9334 | acc 0.831 | auc 0.833
Round 36 | rec 0.0324 | cls 0.9332 | acc 0.825 | auc 0.833
Round 37 | rec 0.0311 | cls 0.9345 | acc 0.820 | auc 0.833
Round 38 | rec 0.0291 | cls 0.9359 | acc 0.816 | auc 0.833
Round 39 | rec 0.0262 | cls 0.9363 | acc 0.812 | auc 0.834
Round 40 | rec 0.0229 | cls 0.9356 | acc 0.810 | auc 0.834
Round 41 | rec 0.0199 | cls 0.9339 | acc 0.808 | auc 0.834
Round 42 | rec 0.0173 | cls 0.9317 | acc 0.808 | auc 0.834
Round 43 | rec 0.0156 | cls 0.9299 | acc 0.810 | auc 0.834
Round 44 | rec 0.0147 | cls 0.9287 | acc 0.813 | auc 0.834
Round 45 | rec 0.0145 | cls 0.9287 | acc 0.817 | auc 0.834
Round 46 | rec 0.0147 | cls 0.9296 | acc 0.820 | auc 0.834
Round 47 | rec 0.0147 | cls 0.9310 | acc 0.822 | auc 0.834
Round 48 | rec 0.0142 | cls 0.9325 | acc 0.824 | auc 0.834
Round 49 | rec 0.0130 | cls 0.9333 | acc 0.825 | auc 0.834
Round 50 | rec 0.0115 | cls 0.9333 | acc 0.825 | auc 0.835
Round 51 | rec 0.0100 | cls 0.9325 | acc 0.824 | auc 0.834
Round 52 | rec 0.0088 | cls 0.9314 | acc 0.823 | auc 0.834
Round 53 | rec 0.0081 | cls 0.9302 | acc 0.822 | auc 0.834
Round 54 | rec 0.0079 | cls 0.9291 | acc 0.820 | auc 0.834
Round 55 | rec 0.0080 | cls 0.9284 | acc 0.819 | auc 0.835
Round 56 | rec 0.0081 | cls 0.9279 | acc 0.817 | auc 0.835
Round 57 | rec 0.0081 | cls 0.9278 | acc 0.816 | auc 0.835
Round 58 | rec 0.0078 | cls 0.9278 | acc 0.815 | auc 0.835
Round 59 | rec 0.0074 | cls 0.9277 | acc 0.814 | auc 0.835
Round 60 | rec 0.0069 | cls 0.9275 | acc 0.813 | auc 0.835
Finished.
