Device cuda | MLP + NPN β=0.05 | 60r×3e

Round 01 | loss 0.6526 | acc 0.793 | auc 0.595
Round 02 | loss 0.5952 | acc 0.740 | auc 0.617
Round 03 | loss 0.4750 | acc 0.854 | auc 0.645
Round 04 | loss 0.3819 | acc 0.922 | auc 0.679
Round 05 | loss 0.3244 | acc 0.934 | auc 0.712
Round 06 | loss 0.2839 | acc 0.934 | auc 0.737
Round 07 | loss 0.2531 | acc 0.934 | auc 0.757
Round 08 | loss 0.2293 | acc 0.934 | auc 0.774
Round 09 | loss 0.2139 | acc 0.934 | auc 0.788
Round 10 | loss 0.2074 | acc 0.935 | auc 0.800
Round 11 | loss 0.2094 | acc 0.935 | auc 0.803
Round 12 | loss 0.2106 | acc 0.933 | auc 0.806
Round 13 | loss 0.2118 | acc 0.931 | auc 0.806
Round 14 | loss 0.2117 | acc 0.929 | auc 0.810
Round 15 | loss 0.2120 | acc 0.928 | auc 0.809
Round 16 | loss 0.2120 | acc 0.926 | auc 0.809
Round 17 | loss 0.2116 | acc 0.926 | auc 0.809
Round 18 | loss 0.2112 | acc 0.926 | auc 0.810
Round 19 | loss 0.2106 | acc 0.926 | auc 0.811
Round 20 | loss 0.2090 | acc 0.928 | auc 0.815
Round 21 | loss 0.2081 | acc 0.929 | auc 0.818
Round 22 | loss 0.2064 | acc 0.930 | auc 0.822
Round 23 | loss 0.2057 | acc 0.931 | auc 0.825
Round 24 | loss 0.2054 | acc 0.933 | auc 0.825
Round 25 | loss 0.2049 | acc 0.934 | auc 0.826
Round 26 | loss 0.2050 | acc 0.935 | auc 0.826
Round 27 | loss 0.2050 | acc 0.935 | auc 0.828
Round 28 | loss 0.2055 | acc 0.936 | auc 0.828
Round 29 | loss 0.2064 | acc 0.936 | auc 0.828
Round 30 | loss 0.2071 | acc 0.936 | auc 0.829
Round 31 | loss 0.2080 | acc 0.936 | auc 0.830
Round 32 | loss 0.2089 | acc 0.935 | auc 0.830
Round 33 | loss 0.2102 | acc 0.934 | auc 0.831
Round 34 | loss 0.2113 | acc 0.933 | auc 0.832
Round 35 | loss 0.2128 | acc 0.932 | auc 0.830
Round 36 | loss 0.2137 | acc 0.931 | auc 0.832
Round 37 | loss 0.2149 | acc 0.930 | auc 0.832
Round 38 | loss 0.2162 | acc 0.929 | auc 0.831
Round 39 | loss 0.2167 | acc 0.929 | auc 0.832
Round 40 | loss 0.2172 | acc 0.929 | auc 0.830
Round 41 | loss 0.2169 | acc 0.928 | auc 0.830
Round 42 | loss 0.2161 | acc 0.929 | auc 0.830
Round 43 | loss 0.2150 | acc 0.930 | auc 0.830
Round 44 | loss 0.2140 | acc 0.931 | auc 0.831
Round 45 | loss 0.2133 | acc 0.931 | auc 0.830
Round 46 | loss 0.2120 | acc 0.931 | auc 0.832
Round 47 | loss 0.2120 | acc 0.932 | auc 0.831
Round 48 | loss 0.2115 | acc 0.932 | auc 0.834
Round 49 | loss 0.2116 | acc 0.931 | auc 0.833
Round 50 | loss 0.2123 | acc 0.931 | auc 0.833
Round 51 | loss 0.2127 | acc 0.931 | auc 0.833
Round 52 | loss 0.2127 | acc 0.931 | auc 0.834
Round 53 | loss 0.2128 | acc 0.930 | auc 0.835
Round 54 | loss 0.2132 | acc 0.930 | auc 0.834
Round 55 | loss 0.2135 | acc 0.930 | auc 0.834
Round 56 | loss 0.2133 | acc 0.930 | auc 0.834
Round 57 | loss 0.2135 | acc 0.929 | auc 0.834
Round 58 | loss 0.2134 | acc 0.929 | auc 0.835
Round 59 | loss 0.2137 | acc 0.928 | auc 0.835
Round 60 | loss 0.2135 | acc 0.928 | auc 0.834
Finished.
