Device cuda | MLP + PN | 60 rounds × 3 epoch

Round 01 | loss 0.6523 | acc 0.796 | auc 0.596
Round 02 | loss 0.5937 | acc 0.744 | auc 0.616
Round 03 | loss 0.4740 | acc 0.855 | auc 0.644
Round 04 | loss 0.3822 | acc 0.920 | auc 0.678
Round 05 | loss 0.3250 | acc 0.934 | auc 0.712
Round 06 | loss 0.2841 | acc 0.934 | auc 0.738
Round 07 | loss 0.2528 | acc 0.934 | auc 0.758
Round 08 | loss 0.2282 | acc 0.935 | auc 0.775
Round 09 | loss 0.2122 | acc 0.935 | auc 0.790
Round 10 | loss 0.2071 | acc 0.935 | auc 0.800
Round 11 | loss 0.2091 | acc 0.934 | auc 0.803
Round 12 | loss 0.2117 | acc 0.932 | auc 0.805
Round 13 | loss 0.2132 | acc 0.930 | auc 0.808
Round 14 | loss 0.2135 | acc 0.929 | auc 0.810
Round 15 | loss 0.2134 | acc 0.927 | auc 0.811
Round 16 | loss 0.2125 | acc 0.927 | auc 0.812
Round 17 | loss 0.2112 | acc 0.927 | auc 0.812
Round 18 | loss 0.2100 | acc 0.927 | auc 0.814
Round 19 | loss 0.2085 | acc 0.927 | auc 0.816
Round 20 | loss 0.2071 | acc 0.929 | auc 0.819
Round 21 | loss 0.2061 | acc 0.930 | auc 0.822
Round 22 | loss 0.2054 | acc 0.931 | auc 0.824
Round 23 | loss 0.2049 | acc 0.933 | auc 0.825
Round 24 | loss 0.2049 | acc 0.934 | auc 0.826
Round 25 | loss 0.2050 | acc 0.935 | auc 0.827
Round 26 | loss 0.2054 | acc 0.935 | auc 0.827
Round 27 | loss 0.2062 | acc 0.936 | auc 0.828
Round 28 | loss 0.2070 | acc 0.936 | auc 0.828
Round 29 | loss 0.2080 | acc 0.936 | auc 0.829
Round 30 | loss 0.2089 | acc 0.935 | auc 0.830
Round 31 | loss 0.2100 | acc 0.935 | auc 0.830
Round 32 | loss 0.2111 | acc 0.934 | auc 0.831
Round 33 | loss 0.2121 | acc 0.933 | auc 0.832
Round 34 | loss 0.2131 | acc 0.932 | auc 0.832
Round 35 | loss 0.2141 | acc 0.931 | auc 0.833
Round 36 | loss 0.2151 | acc 0.930 | auc 0.833
Round 37 | loss 0.2158 | acc 0.929 | auc 0.833
Round 38 | loss 0.2166 | acc 0.928 | auc 0.833
Round 39 | loss 0.2168 | acc 0.928 | auc 0.833
Round 40 | loss 0.2164 | acc 0.929 | auc 0.832
Round 41 | loss 0.2156 | acc 0.929 | auc 0.832
Round 42 | loss 0.2147 | acc 0.929 | auc 0.832
Round 43 | loss 0.2137 | acc 0.930 | auc 0.832
Round 44 | loss 0.2130 | acc 0.931 | auc 0.833
Round 45 | loss 0.2122 | acc 0.931 | auc 0.833
Round 46 | loss 0.2117 | acc 0.931 | auc 0.833
Round 47 | loss 0.2117 | acc 0.931 | auc 0.833
Round 48 | loss 0.2119 | acc 0.931 | auc 0.834
Round 49 | loss 0.2123 | acc 0.931 | auc 0.834
Round 50 | loss 0.2130 | acc 0.930 | auc 0.834
Round 51 | loss 0.2135 | acc 0.930 | auc 0.834
Round 52 | loss 0.2138 | acc 0.930 | auc 0.835
Round 53 | loss 0.2140 | acc 0.930 | auc 0.835
Round 54 | loss 0.2142 | acc 0.929 | auc 0.835
Round 55 | loss 0.2142 | acc 0.929 | auc 0.835
Round 56 | loss 0.2139 | acc 0.928 | auc 0.835
Round 57 | loss 0.2138 | acc 0.928 | auc 0.835
Round 58 | loss 0.2138 | acc 0.928 | auc 0.835
Round 59 | loss 0.2136 | acc 0.928 | auc 0.835
Round 60 | loss 0.2131 | acc 0.928 | auc 0.835
Finished.
